,FICO,Approve_Date,Amount,Competition_Rate,Rate,Competitiveness,Cost_funds,Partner_2,Partner_3,Outcome
0,796,2003-10-01,5877.0,4.69,7.53,-1.3699999999999992,1.84,0,1,0
1,707,2004-08-18,11035.05,5.05,7.19,6.42,1.84,0,1,1
2,707,2004-08-18,11099.0,5.05,7.19,7.67,1.84,0,1,0
3,678,2004-08-23,11187.19,5.05,7.19,8.67,1.84,0,1,1
4,682,2004-07-15,11642.95,4.95,7.19,4.519999999999998,1.84,0,1,1
5,705,2004-08-03,11887.89,5.05,7.19,6.67,1.84,0,1,1
6,682,2004-08-27,12088.83,5.05,7.19,11.87,1.84,0,1,1
7,692,2004-08-18,12258.69,5.05,7.19,8.62,1.84,0,1,1
8,731,2004-07-10,12829.61,4.95,7.19,2.5699999999999985,1.84,0,1,1
9,718,2004-08-23,12892.3,5.05,7.19,0.6699999999999999,1.84,0,1,1
10,664,2004-08-03,14500.0,5.05,7.19,8.67,1.84,0,1,0
11,715,2004-08-13,15653.0,5.05,7.19,4.67,1.84,0,1,0
12,807,2003-09-30,5300.0,4.69,7.18,-1.0199999999999996,1.84,0,0,0
13,690,2004-09-08,11292.25,4.99,7.14,9.659999999999998,1.84,0,1,1
14,652,2004-08-24,11492.04,5.05,7.14,7.76,1.84,0,1,1
15,705,2004-07-13,11571.95,4.95,7.14,-0.3399999999999981,1.84,0,1,1
16,678,2004-07-11,11776.89,4.95,7.14,3.869999999999999,1.84,0,1,1
17,717,2004-08-25,12070.0,5.05,7.14,2.7200000000000006,1.84,0,1,1
18,727,2004-08-16,13230.9,5.05,7.14,3.67,1.84,0,1,1
19,662,2004-08-19,14200.0,5.05,7.14,2.7700000000000014,1.84,0,1,0
20,722,2004-09-03,9062.74,4.99,6.89,9.210000000000003,1.84,0,1,1
21,703,2004-11-11,16682.27,4.99,6.53,-0.07000000000000028,1.84,0,1,1
22,812,2003-10-19,5700.0,4.25,6.52,-0.7999999999999989,1.84,0,1,0
23,723,2004-11-16,19556.0,5.05,6.39,2.160000000000002,1.84,0,1,0
24,703,2004-06-09,9664.65,4.95,6.19,12.069999999999999,1.84,0,1,1
25,697,2004-05-25,10456.45,4.95,6.19,11.569999999999999,1.84,0,1,1
26,697,2004-04-22,15388.0,4.55,6.19,4.17,1.84,0,1,0
27,669,2004-04-28,18000.0,4.65,6.19,0.7699999999999996,1.84,0,1,0
28,738,2004-04-22,10283.09,4.55,5.99,11.07,1.84,0,1,1
29,682,2004-08-08,9860.85,5.05,5.78,0.7400000000000002,1.84,0,1,1
30,715,2004-06-01,10409.63,4.95,5.59,8.469999999999999,1.84,0,1,1
31,751,2004-09-22,9807.53,4.99,5.39,3.130000000000001,1.84,0,1,1
