Tier,FICO,Approve_Date,Term,Amount,Previous Rate,Car Type,Competition Rate,Rate,Partner,Outcome
1,796,10/1/03,36,5877,9,R,4.69,7.53,3,0
1,707,8/18/04,36,11035.05,15.75,R,5.05,7.19,3,1
1,707,8/18/04,36,11099,17,R,5.05,7.19,3,0
1,678,8/23/04,36,11187.19,18,R,5.05,7.19,3,1
1,682,7/15/04,36,11642.95,13.95,R,4.95,7.19,3,1
1,705,8/3/04,36,11887.89,16,R,5.05,7.19,3,1
1,682,8/27/04,36,12088.83,21.2,R,5.05,7.19,3,1
1,692,8/18/04,36,12258.69,17.95,R,5.05,7.19,3,1
1,731,7/10/04,36,12829.61,12,R,4.95,7.19,3,1
1,718,8/23/04,36,12892.3,10,R,5.05,7.19,3,1
1,664,8/3/04,36,14500,18,R,5.05,7.19,3,0
1,715,8/13/04,36,15653,14,R,5.05,7.19,3,0
1,807,9/30/03,36,5300,8.65,R,4.69,7.18,1,0
1,690,9/8/04,36,11292.25,18.95,R,4.99,7.14,3,1
1,652,8/24/04,36,11492.04,16.99,R,5.05,7.14,3,1
1,705,7/13/04,36,11571.95,8.99,R,4.95,7.14,3,1
1,678,7/11/04,36,11776.89,13.2,R,4.95,7.14,3,1
1,717,8/25/04,36,12070,11.95,R,5.05,7.14,3,1
1,727,8/16/04,36,13230.9,12.9,R,5.05,7.14,3,1
1,662,8/19/04,36,14200,12,R,5.05,7.14,3,0
1,722,9/3/04,36,9062.74,18,R,4.99,6.89,3,1
1,703,11/11/04,36,16682.27,8,R,4.99,6.53,3,1
1,812,10/19/03,36,5700,7.99,R,4.25,6.52,3,0
1,723,11/16/04,36,19556,9.89,R,5.05,6.39,3,0
1,703,6/9/04,36,9664.65,19.5,R,4.95,6.19,3,1
1,697,5/25/04,36,10456.45,19,R,4.95,6.19,3,1
1,697,4/22/04,36,15388,12,R,4.55,6.19,3,0
1,669,4/28/04,36,18000,8.5,R,4.65,6.19,3,0
1,738,4/22/04,36,10283.09,18.5,R,4.55,5.99,3,1
1,682,8/8/04,36,9860.85,7.25,R,5.05,5.78,3,1
1,715,6/1/04,36,10409.63,14.7,R,4.95,5.59,3,1
1,751,9/22/04,36,9807.53,8.92,R,4.99,5.39,3,1
1,771,8/3/04,36,10046.36,7.9,R,5.05,5.39,3,1
1,688,8/21/04,36,10252.32,11.99,R,5.05,5.39,3,1
1,820,8/30/04,36,10638.53,10,R,4.99,5.39,3,1
1,765,8/23/04,36,11166.22,12,R,5.05,5.39,3,1
1,684,8/22/04,36,11340,8.7,R,5.05,5.39,3,1
1,736,8/21/04,36,11530.52,15,R,5.05,5.39,3,1
1,675,7/19/04,36,11700,17.95,R,4.95,5.39,3,1
1,700,7/12/04,36,12918.65,13,R,4.95,5.39,3,1
1,693,8/7/04,36,13114,6.9,R,5.05,5.39,3,0
1,720,8/24/04,36,13175.73,9.35,R,5.05,5.39,3,1
1,715,9/27/04,36,13300,8,R,4.99,5.39,3,1
1,628,8/3/04,36,13723.79,12.95,R,5.05,5.39,3,1
1,738,8/24/04,36,14006.76,8.99,R,5.05,5.39,3,1
1,768,8/31/04,36,14221,4.75,R,4.99,5.39,3,1
1,747,8/9/04,36,15351.38,13,R,5.05,5.39,3,1
1,758,8/2/04,36,15458,9.35,R,5.05,5.39,3,1
1,777,8/2/04,36,16643,7,R,5.05,5.39,1,0
1,725,9/22/04,36,16704.63,11.9,R,4.99,5.39,3,1
1,803,8/4/04,36,5000,10,R,5.05,5.05,1,1
1,787,8/16/04,36,5000,8.49,R,5.05,5.05,1,0
1,705,8/18/04,36,5000,8,R,5.05,5.05,1,0
1,773,8/11/04,36,5170.93,12,R,5.05,5.05,1,1
1,766,8/15/04,36,5240,7.99,R,5.05,5.05,3,1
1,766,8/25/04,36,5493,8,R,5.05,5.05,3,1
1,760,8/12/04,36,5534.9,9,R,5.05,5.05,1,1
1,766,11/16/04,36,5563.32,7.25,R,5.05,5.05,3,1
1,789,8/26/04,36,5637,4.29,R,5.05,5.05,1,1
1,800,8/4/04,36,5695.05,8,R,5.05,5.05,3,1
1,773,8/10/04,36,5750.45,17.5,R,5.05,5.05,3,1
1,767,8/15/04,36,5896.44,7.75,R,5.05,5.05,1,1
1,746,8/3/04,36,5904.75,9.25,R,5.05,5.05,3,1
1,734,8/10/04,36,6097.5,10,R,5.05,5.05,3,1
1,751,8/30/04,36,6311.55,10.99,R,4.99,5.05,1,1
1,781,8/24/04,36,6510,7.25,R,5.05,5.05,3,1
1,788,8/23/04,36,6608.98,8,R,5.05,5.05,3,1
1,782,8/11/04,36,6720,7.9,R,5.05,5.05,1,1
1,779,8/6/04,36,6805.24,6.9,R,5.05,5.05,3,1
1,766,8/10/04,36,6821.1,14,R,5.05,5.05,1,1
1,779,8/9/04,36,6944.41,8.09,R,5.05,5.05,1,1
1,734,8/5/04,36,7410,12,R,5.05,5.05,3,0
1,777,8/18/04,36,7492,8.49,R,5.05,5.05,3,0
1,741,8/4/04,36,7504.28,7,R,5.05,5.05,1,1
1,827,8/23/04,36,7540,10,R,5.05,5.05,3,1
1,778,8/5/04,36,7605,10,R,5.05,5.05,3,0
1,787,8/30/04,36,7626,9.95,R,4.99,5.05,3,1
1,776,8/5/04,36,7668.55,11,R,5.05,5.05,1,1
1,752,8/18/04,36,7805,10,R,5.05,5.05,3,0
1,760,8/9/04,36,7884.7,7.34,R,5.05,5.05,1,1
1,738,8/9/04,36,7968.19,10,R,5.05,5.05,1,1
1,679,8/13/04,36,8000,16.9,R,5.05,5.05,3,1
1,737,8/20/04,36,8000,9.25,R,5.05,5.05,1,0
1,766,8/16/04,36,8057.59,9.95,R,5.05,5.05,3,1
1,741,8/15/04,36,8205.23,7.99,R,5.05,5.05,1,1
1,790,8/10/04,36,8351.22,7.19,R,5.05,5.05,1,1
1,734,8/9/04,36,8423.65,7.25,R,5.05,5.05,3,1
1,759,8/28/04,36,8489,7.5,R,5.05,5.05,1,0
1,733,8/16/04,36,8824.32,8,R,5.05,5.05,1,1
1,766,8/7/04,36,8973,8.5,R,5.05,5.05,3,1
1,684,8/16/04,36,9039.28,7,R,5.05,5.05,3,1
1,808,8/16/04,36,9115.16,12,R,5.05,5.05,3,1
1,758,8/29/04,36,9389.58,7.25,R,4.99,5.05,1,1
1,716,8/22/04,36,9421.39,14,R,5.05,5.05,3,1
